Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
AACS	chr12	125065379	125143333	+	ENSG00000081760.16	protein_coding	ACSF1|SUR-5	12q24.31	acetoacetyl-CoA synthetase	Ubiquitous expression in fat (RPKM 23.3), skin (RPKM 16.5) and 24 other tissues
AADAC	chr3	151814037	151828488	+	ENSG00000114771.13	protein_coding	CES5A1|DAC	3q25.1	arylacetamide deacetylase	Microsomal arylacetamide deacetylase competes against the activity of cytosolic arylamine N-acetyltransferase, which catalyzes one of the initial biotransformation pathways for arylamine and heterocyclic amine carcinogens [provided by RefSeq, Jul 2008]
AADACL4	chr1	12644547	12667086	+	ENSG00000204518.2	protein_coding	-	1p36.21	arylacetamide deacetylase like 4	-
AADAT	chr4	170060222	170091699	-	ENSG00000109576.13	protein_coding	KAT2|KATII|KYAT2	4q33	aminoadipate aminotransferase	This gene encodes a protein that is highly similar to mouse and rat kynurenine aminotransferase II. The rat protein is a homodimer with two transaminase activities. One activity is the transamination of alpha-aminoadipic acid, a final step in the saccaropine pathway which is the major pathway for L-lysine catabolism. The other activity involves the transamination of kynurenine to produce kynurenine acid, the precursor of kynurenic acid which has neuroprotective properties. Several transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Nov 2013]
AAGAB	chr15	67201033	67255195	-	ENSG00000103591.12	protein_coding	KPPP1|PPKP1|PPKP1A|p34	15q23	alpha and gamma adaptin binding protein	The protein encoded by this gene interacts with the gamma-adaptin and alpha-adaptin subunits of complexes involved in clathrin-coated vesicle trafficking. Mutations in this gene are associated with type I punctate palmoplantar keratoderma. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2012]
AAK1	chr2	69457997	69674349	-	ENSG00000115977.18	protein_coding	-	2p13.3	AP2 associated kinase 1	Note: This gene has been reviewed for its involvement in coronavirus biology, and is involved in SARS-CoV-2 infection.
AAMDC	chr11	77821109	77918432	+	ENSG00000087884.14	protein_coding	C11orf67|CK067|PTD015	11q14.1	adipogenesis associated Mth938 domain containing	Ubiquitous expression in adrenal (RPKM 14.7), fat (RPKM 11.2) and 24 other tissues
AAMP	chr2	218264123	218270257	-	ENSG00000127837.9	protein_coding	-	2q35	angio associated migratory cell protein	Ubiquitous expression in ovary (RPKM 40.5), thyroid (RPKM 38.1) and 25 other tissues
AANAT	chr17	76453351	76470117	+	ENSG00000129673.9	protein_coding	DSPS|SNAT	17q25.1	aralkylamine N-acetyltransferase	The protein encoded by this gene belongs to the acetyltransferase superfamily. It is the penultimate enzyme in melatonin synthesis and controls the night/day rhythm in melatonin production in the vertebrate pineal gland. Melatonin is essential for the function of the circadian clock that influences activity and sleep. This enzyme is regulated by cAMP-dependent phosphorylation that promotes its interaction with 14-3-3 proteins and thus protects the enzyme against proteasomal degradation. This gene may contribute to numerous genetic diseases such as delayed sleep phase syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009]
AAR2	chr20	36236459	36270918	+	ENSG00000131043.11	protein_coding	C20orf4|CGI-23	20q11.23	AAR2 splicing factor	This gene encodes the homolog of the yeast A1-alpha2 repressin protein that is involved in mRNA splicing. Alternately spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2012]
AARD	chr8	116938199	116944487	+	ENSG00000205002.3	protein_coding	C8orf85	8q24.11	alanine and arginine rich domain containing protein	Biased expression in testis (RPKM 16.1), lung (RPKM 1.2) and 1 other tissue
AARS1	chr16	 70252298	70289506	-	ENSG00000090861	protein-coding	AARS|CMT2N|DEE29|EIEE29	16q22.1	alanyl-tRNA synthetase 1	The human alanyl-tRNA synthetase (AARS) belongs to a family of tRNA synthases, of the class II enzymes.  Class II tRNA synthases evolved early in evolution and are highly conserved.  This is reflected by the fact that 498 of the 968-residue polypeptide human AARS shares 41% identity witht the E.coli protein.  tRNA synthases are the enzymes that interpret the RNA code and attach specific aminoacids to the tRNAs that contain the cognate trinucleotide anticodons.  They consist of a catalytic domain which interacts with the amino acid acceptor-T psi C helix of the tRNA, and a second domain which interacts with the rest of the tRNA structure. [provided by RefSeq, Jul 2008]
AARS2	chr6	44299654	44313326	-	ENSG00000124608.4	protein_coding	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS	6p21.1	alanyl-tRNA synthetase 2, mitochondrial	The protein encoded by this gene belongs to the class-II aminoacyl-tRNA synthetase family. Aminoacyl-tRNA synthetases play critical roles in mRNA translation by charging tRNAs with their cognate amino acids. The encoded protein is a mitochondrial enzyme that specifically aminoacylates alanyl-tRNA. Mutations in this gene are a cause of combined oxidative phosphorylation deficiency 8. [provided by RefSeq, Dec 2011]
AARSD1	chr17	42950526	42964498	-	ENSG00000266967.6	protein_coding	AlaXp	17q21.31	alanyl-tRNA synthetase domain containing 1	Broad expression in testis (RPKM 38.9), brain (RPKM 14.2) and 25 other tissues
AASDH	chr4	56338287	56387508	-	ENSG00000157426.13	protein_coding	ACSF4|LYS2|NRPS1098|NRPS998	4q12	aminoadipate-semialdehyde dehydrogenase	This gene encodes a member of the non-ribosome peptide syntesase (NRPS) enzyme family. The encoded protein contains an AMP-binding domain, PP-binding (phosphopantetheine, or pantetheine 4phosphate-binding) domain and the Pyrrolo-quinoline quinon (PQQ) binding domain. The protein is expressed in several adult tissues. [provided by RefSeq, Apr 2016]
AASDHPPT	chr11	106075501	106098710	+	ENSG00000149313.10	protein_coding	AASD-PPT|ACPS|CGI-80|LYS2|LYS5	11q22.3	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	The protein encoded by this gene is similar to Saccharomyces cerevisiae LYS5, which is required for the activation of the alpha-aminoadipate dehydrogenase in the biosynthetic pathway of lysine. Yeast alpha-aminoadipate dehydrogenase converts alpha-biosynthetic-aminoadipate semialdehyde to alpha-aminoadipate. It has been suggested that defects in the human gene result in pipecolic acidemia. [provided by RefSeq, Jul 2008]
AASS	chr7	122075647	122144280	-	ENSG00000008311.14	protein_coding	LKR/SDH|LKRSDH|LORSDH	7q31.32	aminoadipate-semialdehyde synthase	This gene encodes a bifunctional enzyme that catalyzes the first two steps in the mammalian lysine degradation pathway. The N-terminal and the C-terminal portions of this enzyme contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively, resulting in the conversion of lysine to alpha-aminoadipic semialdehyde. Mutations in this gene are associated with familial hyperlysinemia. [provided by RefSeq, Jul 2008]
AATF	chr17	36948875	37056871	+	ENSG00000275700.4	protein_coding	BFR2|CHE-1|CHE1|DED	17q12	apoptosis antagonizing transcription factor	The protein encoded by this gene was identified on the basis of its interaction with MAP3K12/DLK, a protein kinase known to be involved in the induction of cell apoptosis. This gene product contains a leucine zipper, which is a characteristic motif of transcription factors, and was shown to exhibit strong transactivation activity when fused to Gal4 DNA binding domain. Overexpression of this gene interfered with MAP3K12 induced apoptosis. [provided by RefSeq, Jul 2008]
AATK	chr17	81117295	81166077	-	ENSG00000181409.11	protein_coding	AATYK|AATYK1|LMR1|LMTK1|PPP1R77|p35BP	17q25.3	apoptosis associated tyrosine kinase	The protein encoded by this gene contains a tyrosine kinase domain at the N-terminus and a proline-rich domain at the C-terminus. This gene is induced during apoptosis, and expression of this gene may be a necessary pre-requisite for the induction of growth arrest and/or apoptosis of myeloid precursor cells. This gene has been shown to produce neuronal differentiation in a neuroblastoma cell line. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2011]
AB015752.3	chr8	90534611	90620070	-	ENSG00000254180.1	lincRNA	-	-	-	-
ABALON	chr20	31721507	31723409	+	ENSG00000281376.1	antisense	INXS	20q11.21	apoptotic BCL2L1-antisense long non-coding RNA	-
ABC11-4932300O16.1	chr10	131891640	131895297	+	ENSG00000283095.1	lincRNA	-	-	-	-
ABC13-47488600E17.1	chr13	113953705	113973997	-	ENSG00000283199.1	protein_coding	-	-	-	-
ABC14-1188822O7.1	chr1	2773603	2776473	+	ENSG00000283259.1	antisense	-	-	-	-
ABCA1	chr9	104781002	104928237	-	ENSG00000165029.15	protein_coding	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	9q31.1	ATP binding cassette subfamily A member 1	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. With cholesterol as its substrate, this protein functions as a cholesteral efflux pump in the cellular lipid removal pathway. Mutations in both alleles of this gene cause Tangier disease and familial high-density lipoprotein (HDL) deficiency. [provided by RefSeq, Sep 2019]
ABCA10	chr17	69147214	69244846	-	ENSG00000154263.17	protein_coding	EST698739	17q24.3	ATP binding cassette subfamily A member 10	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24, but neither the substrate nor the function of this gene is known. [provided by RefSeq, Jul 2008]
ABCA11P	chr4	425435	474129	-	ENSG00000251595.7	transcribed_processed_pseudogene	ABCA11|EST1133530	4p16.3	ATP binding cassette subfamily A member 11, pseudogene	Ubiquitous expression in skin (RPKM 4.6), brain (RPKM 4.5) and 25 other tissues
ABCA12	chr2	214931542	215138428	-	ENSG00000144452.14	protein_coding	ARCI4A|ARCI4B|ICR2B|LI2	2q35	ATP binding cassette subfamily A member 12	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily, which is the only major ABC subfamily found exclusively in multicellular eukaryotes. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]
ABCA13	chr7	48171458	48647496	+	ENSG00000179869.14	protein_coding	-	7p12.3	ATP binding cassette subfamily A member 13	Biased expression in bone marrow (RPKM 8.6) and thyroid (RPKM 0.4)
ABCA17P	chr16	2339150	2426699	+	ENSG00000238098.9	transcribed_unitary_pseudogene	ABCA17	16p13.3	ATP binding cassette subfamily A member 17, pseudogene	Biased expression in testis (RPKM 1.5) and brain (RPKM 0.1)
ABCA2	chr9	137007227	137028922	-	ENSG00000107331.16	protein_coding	ABC2|IDPOGSA	9q34.3	ATP binding cassette subfamily A member 2	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This protein is highly expressed in brain tissue and may play a role in macrophage lipid metabolism and neural development. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
ABCA3	chr16	2275881	2340746	-	ENSG00000167972.13	protein_coding	ABC-C|ABC3|EST111653|LBM180|SMDP3	16p13.3	ATP binding cassette subfamily A member 3	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intracellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the ABC1 subfamily.  Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes.  The full transporter encoded by this gene may be involved in development of resistance to xenobiotics and engulfment during programmed cell death. [provided by RefSeq, Jul 2008]
ABCA5	chr17	69244311	69327244	-	ENSG00000154265.15	protein_coding	ABC13|EST90625|HTC3	17q24.3	ATP binding cassette subfamily A member 5	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24, but neither the substrate nor the function of this gene is known. Alternative splicing of this gene results in several transcript variants; however, not all variants have been fully described. [provided by RefSeq, Jul 2008]
ABCA6	chr17	69078702	69141888	-	ENSG00000154262.12	protein_coding	EST155051	17q24.2-q24.3	ATP binding cassette subfamily A member 6	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24 and may play a role in macrophage lipid homeostasis. [provided by RefSeq, Jul 2008]
ABCA7	chr19	1040101	1065572	+	ENSG00000064687.12	protein_coding	ABCA-SSN|ABCX|AD9	19p13.3	ATP binding cassette subfamily A member 7	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This full transporter has been detected predominantly in myelo-lymphatic tissues with the highest expression in peripheral leukocytes, thymus, spleen, and bone marrow. The function of this protein is not yet known; however, the expression pattern suggests a role in lipid homeostasis in cells of the immune system. [provided by RefSeq, Jul 2008]
ABCA8	chr17	68867292	68955392	-	ENSG00000141338.13	protein_coding	-	17q24.2	ATP binding cassette subfamily A member 8	Broad expression in fat (RPKM 21.2), ovary (RPKM 21.1) and 22 other tissues
ABCA9	chr17	68974488	69061064	-	ENSG00000154258.16	protein_coding	EST640918	17q24.2	ATP binding cassette subfamily A member 9	This gene is a member of the superfamily of ATP-binding cassette (ABC) transporters and the encoded protein contains two transmembrane domains and two nucleotide binding folds. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This gene is a member of the ABC1 subfamily and is clustered with four other ABC1 family members on chromosome 17q24. Transcriptional expression of this gene is induced during monocyte differentiation into macrophages and is suppressed by cholesterol import. [provided by RefSeq, Jul 2008]
ABCB1	chr7	87503633	87713323	-	ENSG00000085563.14	protein_coding	ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1|p-170	7q21.12	ATP binding cassette subfamily B member 1	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is an ATP-dependent drug efflux pump for xenobiotic compounds with broad substrate specificity. It is responsible for decreased drug accumulation in multidrug-resistant cells and often mediates the development of resistance to anticancer drugs. This protein also functions as a transporter in the blood-brain barrier. Mutations in this gene are associated with colchicine resistance and Inflammatory bowel disease 13. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Feb 2017]
ABCB11	chr2	168922938	169031322	-	ENSG00000073734.8	protein_coding	ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP	2q31.1	ATP binding cassette subfamily B member 11	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is the major canalicular bile salt export pump in man. Mutations in this gene cause a form of progressive familial intrahepatic cholestases which are a group of inherited disorders with severe cholestatic liver disease from early infancy. [provided by RefSeq, Jul 2008]
ABCB4	chr7	87401697	87480435	-	ENSG00000005471.15	protein_coding	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	7q21.12	ATP binding cassette subfamily B member 4	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intra-cellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the MDR/TAP subfamily.  Members of the MDR/TAP subfamily are involved in multidrug resistance as well as antigen presentation.  This gene encodes a full transporter and member of the p-glycoprotein family of membrane proteins with phosphatidylcholine as its substrate.  The function of this protein has not yet been determined; however, it may involve transport of phospholipids from liver hepatocytes into bile.  Alternative splicing of this gene results in several products of undetermined function. [provided by RefSeq, Jul 2008]
ABCB5	chr7	20615207	20777038	+	ENSG00000004846.16	protein_coding	ABCB5alpha|ABCB5beta|EST422562	7p21.1	ATP binding cassette subfamily B member 5	ABCB5 belongs to the ATP-binding cassette (ABC) transporter superfamily of integral membrane proteins. These proteins participate in ATP-dependent transmembrane transport of structurally diverse molecules ranging from small ions, sugars, and peptides to more complex organic molecules (Chen et al., 2005 [PubMed 15760339]).[supplied by OMIM, Mar 2008]
ABCB6	chr2	219209768	219218990	-	ENSG00000115657.12	protein_coding	ABC|LAN|MTABC3|PRP|umat	2q35	ATP binding cassette subfamily B member 6 (Langereis blood group)	This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. ABC proteins transport various molecules across extra- and intra-cellular membranes. This protein is a member of the heavy metal importer subfamily and plays a role in porphyrin transport. This gene is the molecular basis of the Langereis (Lan) blood group antigen and mutations in this gene underlie familial pseudohyperkalemia and dyschromatosis universalis hereditaria. [provided by RefSeq, Mar 2017]
ABCB8	chr7	151028422	151047782	+	ENSG00000197150.12	protein_coding	EST328128|M-ABC1|MABC1|MITOSUR	7q36.1	ATP binding cassette subfamily B member 8	This nuclear gene encodes a multi-pass membrane protein that is targeted to the mitochondrial inner membrane. The encoded protein is an ATP-dependent transporter that may mediate the passage of organic and inorganic molecules out of the mitochondria. Loss of function of the related gene in mouse results in a disruption of iron homeostasis between the mitochondria and cytosol. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013]
ABCB9	chr12	122920951	122981649	-	ENSG00000150967.17	protein_coding	EST122234|TAPL	12q24.31	ATP binding cassette subfamily B member 9	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance as well as antigen presentation. This family member functions in the translocation of peptides from the cytosol into the lysosomal lumen. Alternative splicing of this gene results in distinct isoforms which are likely to have different substrate specificities. [provided by RefSeq, Jul 2011]
ABCC1	chr16	15949577	16143074	+	ENSG00000103222.18	protein_coding	ABC29|ABCC|DFNA77|GS-X|MRP|MRP1	16p13.11	ATP binding cassette subfamily C member 1	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra-and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a multispecific organic anion transporter, with oxidized glutatione, cysteinyl leukotrienes, and activated aflatoxin B1 as substrates. This protein also transports glucuronides and sulfate conjugates of steroid hormones and bile salts. Alternatively spliced variants of this gene have been described but their full-length nature is unknown. [provided by RefSeq, Apr 2012]
ABCC10	chr6	43427366	43450430	+	ENSG00000124574.14	protein_coding	EST182763|MRP7|SIMRP7	6p21.1	ATP binding cassette subfamily C member 10	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This ABC full-transporter is a member of the MRP subfamily which is involved in multi-drug resistance. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Nov 2010]
ABCC13	chr21	14236206	14362754	+	ENSG00000243064.8	transcribed_unprocessed_pseudogene	ABCC13P|C21orf73|PRED6	21q11.2	ATP binding cassette subfamily C member 13 (pseudogene)	This gene is a member of the superfamily of genes encoding ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This family member is part of the MRP subfamily, which is involved in multi-drug resistance, but the human locus is now thought to be a pseudogene incapable of encoding a functional ABC protein. Alternative splicing results in multiple transcript variants; however, not all variants have been fully described. [provided by RefSeq, Jul 2008]
ABCC2	chr10	99782732	99852192	+	ENSG00000023839.10	protein_coding	ABC30|CMOAT|DJS|MRP2|cMRP	10q24.2	ATP binding cassette subfamily C member 2	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein is expressed in the canalicular (apical) part of the hepatocyte and functions in biliary transport. Substrates include anticancer drugs such as vinblastine; therefore, this protein appears to contribute to drug resistance in mammalian cells. Several different mutations in this gene have been observed in patients with Dubin-Johnson syndrome (DJS), an autosomal recessive disorder characterized by conjugated hyperbilirubinemia. [provided by RefSeq, Jul 2008]
ABCC3	chr17	50634777	50692252	+	ENSG00000108846.15	protein_coding	ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2	17q21.33	ATP binding cassette subfamily C member 3	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. The specific function of this protein has not yet been determined; however, this protein may play a role in the transport of biliary and intestinal excretion of organic anions. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008]
ABCC4	chr13	95019829	95301446	-	ENSG00000125257.13	protein_coding	MOAT-B|MOATB|MRP4	13q32.1	ATP binding cassette subfamily C member 4	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This family member plays a role in cellular detoxification as a pump for its substrate, organic anions. It may also function in prostaglandin-mediated cAMP signaling in ciliogenesis. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2014]
